num,name,scheme,family,cls,corr,complexity,source,sorry,done,genuine,file
68,Text Justification,fold,string-other,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0068_TextJustification.lean
69,Sqrt(x),bisection,binary-search,True,True,O(log x),,False,True,True,lproofs/Lproofs/Problems/Bisection/P0069_Sqrt.lean
70,Climbing Stairs,dp,dp-linear,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0070_ClimbingStairs.lean
71,,fold,pairing-stack,False,False,,,False,False,,
72,Edit Distance,dp,dp-grid,True,True,O(mn),,False,True,True,lproofs/Lproofs/Problems/DP/P0072_EditDistance.lean
74,Search a 2D Matrix,bisection,binary-search,True,True,O(log nm),,False,True,True,lproofs/Lproofs/Problems/Bisection/P0074_Search2DMatrix.lean
75,Sort Colors,fold,dutch-flag,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0075_SortColors.lean
76,Minimum Window Substring,fold,sliding-window,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0076_MinWindowSubstring.lean
77,,dp,backtracking,False,False,,,False,False,,
78,Subsets,dp,backtracking,True,True,O(n·2ⁿ),,False,True,True,lproofs/Lproofs/Problems/DP/P0078_Subsets.lean
79,Word Search,dp,backtracking,True,True,O(m·n·4^L),,False,True,True,lproofs/Lproofs/Problems/Relaxation/P0079_WordSearch.lean
80,,fold,two-pointers,False,False,,,False,False,,
81,Search in Rotated Sorted Array II,bisection,binary-search,True,True,,,False,True,True,lproofs/Lproofs/Problems/Bisection/P0081_SearchRotatedII.lean
82,,fold,linked-list,False,False,,,False,False,,
83,,fold,linked-list,False,False,,,False,False,,
84,Largest Rectangle in Histogram,fold,monotonic-stack,True,True,,,False,True,True,lproofs/Lproofs/Problems/Fold/P0084_LargestRectangle.lean
85,Maximal Rectangle,fold,monotonic-stack,True,True,O(mn),,False,True,True,lproofs/Lproofs/Problems/Fold/P0085_MaximalRectangle.lean
86,,fold,linked-list,False,False,,,False,False,,
88,Merge Sorted Array,fold,two-pointers,True,True,O(n+m),,False,True,True,lproofs/Lproofs/Problems/DP/P0088_MergeSortedArray.lean
90,Subsets II,dp,backtracking,True,True,O(n·2ⁿ),,False,True,True,lproofs/Lproofs/Problems/DP/P0090_SubsetsII.lean
91,Decode Ways,dp,dp-linear,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0091_DecodeWays.lean
92,Reverse Linked List II,fold,linked-list,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/Fold/P0092_ReverseLinkedListII.lean
93,,dp,backtracking,False,False,,,False,False,,
94,Binary Tree Inorder Traversal,dp,tree-traversal,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0094_BinaryTreeInorder.lean
97,Interleaving String,dp,dp-grid,True,True,O(mn),,False,True,True,lproofs/Lproofs/Problems/DP/P0097_InterleavingString.lean
98,Validate Binary Search Tree,dp,bst,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0098_ValidateBST.lean
99,,dp,bst,False,False,,,False,False,,
100,,dp,tree-traversal,False,False,,,False,False,,
101,Symmetric Tree,dp,tree-traversal,True,True,O(n),,False,True,True,lproofs/Lproofs/Problems/DP/P0101_SymmetricTree.lean
