company,window,num,rank,family,macro,klass,weight
bloomberg,more-than-six-months,2423,71,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,69,72,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,131,73,backtracking,backtracking,core,1.0
bloomberg,more-than-six-months,1209,74,pairing-stack,stack,periph,1.0
bloomberg,more-than-six-months,1757,75,sql,sql,trivial,1.0
bloomberg,more-than-six-months,23,76,heap-topk,heap-select,periph,1.0
bloomberg,more-than-six-months,73,77,matrix-sim,matrix-sim,periph,1.0
bloomberg,more-than-six-months,198,78,dp-linear,dp,core,1.0
bloomberg,more-than-six-months,485,79,sliding-window,sliding-window,periph,1.0
bloomberg,more-than-six-months,6,80,string-other,string,periph,1.0
bloomberg,more-than-six-months,238,81,prefix-sum,prefix-sum,periph,1.0
bloomberg,more-than-six-months,797,82,graph-other,graph-search,periph,1.0
bloomberg,more-than-six-months,50,83,math-bit,math-bit,periph,1.0
bloomberg,more-than-six-months,74,84,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,1249,85,pairing-stack,stack,periph,1.0
bloomberg,more-than-six-months,1768,86,string-other,string,periph,1.0
bloomberg,more-than-six-months,39,87,backtracking,backtracking,core,1.0
bloomberg,more-than-six-months,84,88,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,102,89,bfs,graph-search,core,1.0
bloomberg,more-than-six-months,143,90,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,205,91,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,739,92,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,987,93,bfs,graph-search,core,1.0
bloomberg,more-than-six-months,51,94,backtracking,backtracking,core,1.0
bloomberg,more-than-six-months,116,95,tree-traversal,tree,core,1.0
bloomberg,more-than-six-months,134,96,greedy,greedy,periph,1.0
bloomberg,more-than-six-months,135,97,greedy,greedy,periph,1.0
bloomberg,more-than-six-months,234,98,fast-slow,two-pointers,periph,1.0
bloomberg,more-than-six-months,349,99,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,496,100,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,1838,101,sliding-window,sliding-window,periph,1.0
bloomberg,more-than-six-months,17,102,backtracking,backtracking,core,1.0
bloomberg,more-than-six-months,67,103,math-bit,math-bit,periph,1.0
bloomberg,more-than-six-months,151,104,string-other,string,periph,1.0
bloomberg,more-than-six-months,399,105,union-find,graph-search,periph,1.0
bloomberg,more-than-six-months,1029,106,greedy,greedy,periph,1.0
bloomberg,more-than-six-months,19,107,fast-slow,two-pointers,periph,1.0
bloomberg,more-than-six-months,215,108,heap-topk,heap-select,periph,1.0
bloomberg,more-than-six-months,611,109,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,704,110,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,1244,111,design,design,periph,1.0
bloomberg,more-than-six-months,10,112,dp-grid,dp,core,1.0
bloomberg,more-than-six-months,12,113,string-other,string,periph,1.0
bloomberg,more-than-six-months,36,114,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,46,115,backtracking,backtracking,core,1.0
bloomberg,more-than-six-months,58,116,string-other,string,periph,1.0
bloomberg,more-than-six-months,122,117,greedy,greedy,periph,1.0
bloomberg,more-than-six-months,139,118,dp-linear,dp,core,1.0
bloomberg,more-than-six-months,175,119,sql,sql,trivial,1.0
bloomberg,more-than-six-months,300,120,dp-linear,dp,core,1.0
bloomberg,more-than-six-months,509,121,dp-linear,dp,core,1.0
bloomberg,more-than-six-months,16,122,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,45,123,greedy,greedy,periph,1.0
bloomberg,more-than-six-months,62,124,dp-grid,dp,core,1.0
bloomberg,more-than-six-months,202,125,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,852,126,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,1656,127,design,design,periph,1.0
bloomberg,more-than-six-months,44,128,dp-grid,dp,core,1.0
bloomberg,more-than-six-months,72,129,dp-grid,dp,core,1.0
bloomberg,more-than-six-months,104,130,tree-aggregate,tree,core,1.0
bloomberg,more-than-six-months,152,131,dp-linear,dp,core,1.0
bloomberg,more-than-six-months,219,132,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,328,133,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,347,134,heap-topk,heap-select,periph,1.0
bloomberg,more-than-six-months,443,135,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,994,136,bfs,graph-search,core,1.0
bloomberg,more-than-six-months,1472,137,design,design,periph,1.0
bloomberg,more-than-six-months,1661,138,sql,sql,trivial,1.0
bloomberg,more-than-six-months,61,139,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,83,140,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,90,141,backtracking,backtracking,core,1.0
bloomberg,more-than-six-months,138,142,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,141,143,fast-slow,two-pointers,periph,1.0
bloomberg,more-than-six-months,209,144,sliding-window,sliding-window,periph,1.0
bloomberg,more-than-six-months,235,145,bst,tree,periph,1.0
bloomberg,more-than-six-months,503,146,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,570,147,sql,sql,trivial,1.0
bloomberg,more-than-six-months,796,148,string-other,string,periph,1.0
bloomberg,more-than-six-months,901,149,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,1011,150,binary-search,binary-search,periph,1.0
bloomberg,more-than-six-months,2965,151,hashing,hashing,periph,1.0
bloomberg,more-than-six-months,110,152,tree-aggregate,tree,core,1.0
bloomberg,more-than-six-months,127,153,bfs,graph-search,core,1.0
bloomberg,more-than-six-months,167,154,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,207,155,topo-sort,graph-search,core,1.0
bloomberg,more-than-six-months,237,156,linked-list,linked-list,periph,1.0
bloomberg,more-than-six-months,239,157,monotonic-stack,stack,periph,1.0
bloomberg,more-than-six-months,344,158,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,345,159,two-pointers,two-pointers,periph,1.0
bloomberg,more-than-six-months,416,160,dp-knapsack,dp,core,1.0
bloomberg,more-than-six-months,912,161,heap-topk,heap-select,periph,1.0
bloomberg,more-than-six-months,1193,162,sql,sql,trivial,1.0
